Date, Open, High, Low, Close, Volume
06/20/25, 140.69, 142.24, 136.7418, 137.30, 87067039
06/18/25, 139.04, 140.36, 137.4901, 139.96, 58260230
06/17/25, 141.485, 141.69, 136.08, 138.20, 70479102
06/16/25, 140.03, 144.86, 139.8115, 141.41, 80779766
06/13/25, 133.815, 139.99, 133.35, 137.40, 93519039
06/12/25, 136.40, 137.0999, 134.63, 135.19, 56248180
06/11/25, 133.92, 140.00, 132.99, 136.39, 97366016
06/10/25, 131.02, 134.0699, 129.41, 132.81, 69308930
06/09/25, 127.075, 132.23, 124.80, 132.06, 74785586
06/06/25, 123.73, 128.13, 121.92, 127.72, 87175133
06/05/25, 129.27, 132.85, 118.93, 119.91, 132238703
06/04/25, 132.80, 132.95, 125.58, 130.01, 97306312
06/03/25, 133.07, 135.28, 130.10, 133.17, 91297664
06/02/25, 131.435, 134.48, 128.86, 132.04, 93218734
05/30/25, 123.53, 131.94, 122.75, 131.78, 185897594
05/29/25, 125.35, 126.47, 121.5302, 122.32, 63137898
05/28/25, 124.23, 125.65, 122.91, 123.76, 64866000
05/27/25, 126.82, 127.88, 120.88, 123.39, 86455172
05/23/25, 120.88, 125.54, 120.68, 123.31, 65905844
05/22/25, 121.95, 126.33, 121.375, 122.29, 75498281
05/21/25, 125.16, 127.11, 119.41, 120.58, 80657672
05/20/25, 127.22, 128.20, 124.65, 125.59, 61265312
05/19/25, 124.715, 127.77, 124.32, 126.33, 72503922
05/16/25, 129.23, 130.33, 126.76, 129.52, 57003719
05/15/25, 128.37, 130.1999, 125.74, 128.12, 69502969
05/14/25, 129.01, 133.49, 127.5593, 130.18, 96611469
05/13/25, 119.92, 130.60, 119.31, 128.10, 147155391
05/12/25, 120.78, 120.935, 115.01, 118.46, 94257344
05/09/25, 118.97, 119.16, 114.90, 117.30, 81005273
05/08/25, 112.28, 120.38, 112.07, 119.15, 126966203
05/07/25, 107.97, 111.85, 107.00, 110.48, 95713680
05/06/25, 112.71, 113.91, 105.3201, 108.86, 201193406
05/05/25, 123.70, 125.255, 121.36, 123.77, 135961297
05/02/25, 118.66, 124.42, 118.63, 124.28, 103094305
05/01/25, 120.04, 120.19, 116.00, 116.20, 90677570
04/30/25, 111.61, 118.78, 110.54, 118.44, 109461695
04/29/25, 113.98, 117.23, 113.24, 116.08, 79709008
04/28/25, 113.78, 114.86, 108.87, 114.65, 111082898
04/25/25, 108.05, 112.88, 106.55, 112.78, 103933797
04/24/25, 101.53, 108.00, 100.9101, 107.78, 103190703
04/23/25, 98.86, 103.76, 97.83, 100.82, 112909508
04/22/25, 93.015, 96.3399, 91.3503, 93.99, 91185375
04/21/25, 92.84, 96.475, 89.31, 90.80, 83831148
04/17/25, 94.71, 95.11, 92.27, 93.78, 83991758
04/16/25, 96.28, 97.30, 89.62, 92.71, 121997602
04/15/25, 93.53, 98.99, 93.05, 98.40, 118457695
04/14/25, 95.80, 97.33, 91.46, 92.62, 122836898
04/11/25, 87.98, 89.55, 85.47, 88.55, 95130680
04/10/25, 88.40, 90.78, 84.14, 88.59, 124448203
04/09/25, 78.19, 93.33, 77.27, 92.01, 187244297
04/08/25, 83.29, 86.114, 75.22, 77.32, 135345594
04/07/25, 66.65, 81.80, 66.12, 77.84, 169083703
04/04/25, 80.07, 80.98, 71.9303, 74.01, 147323203
04/03/25, 81.25, 85.68, 81.01, 83.60, 93878195
04/02/25, 82.40, 88.405, 82.30, 87.45, 96563133
04/01/25, 83.89, 85.28, 81.8201, 84.68, 78980656
03/31/25, 80.00, 84.65, 78.75, 84.40, 108092898
03/28/25, 89.34, 89.38, 84.10, 85.85, 91091711
03/27/25, 91.015, 93.65, 89.67, 90.09, 82823000
03/26/25, 96.29, 97.2999, 90.82, 92.28, 82138336
03/25/25, 97.22, 98.17, 95.08, 96.50, 78015273
03/24/25, 93.40, 97.39, 92.28, 96.75, 112164703
03/21/25, 85.85, 91.07, 84.46, 90.96, 116748703
03/20/25, 85.54, 89.80, 85.12, 87.39, 105547398
03/19/25, 84.55, 87.99, 82.86, 86.10, 89797422
03/18/25, 85.78, 86.1699, 81.80, 83.89, 93236484
03/17/25, 88.44, 88.82, 84.50, 87.35, 99348875
03/14/25, 82.97, 87.27, 82.16, 86.24, 113985000
03/13/25, 82.845, 83.74, 78.32, 79.62, 100927203
03/12/25, 83.48, 84.55, 79.86, 83.65, 116525102
03/11/25, 75.785, 80.745, 75.53, 78.05, 109351508
03/10/25, 82.00, 82.6899, 74.57, 76.38, 136843812
03/07/25, 80.025, 85.16, 79.15, 84.91, 105377102
03/06/25, 87.505, 88.34, 80.01, 80.46, 117340602
03/05/25, 86.35, 90.30, 82.50, 90.13, 116053000
03/04/25, 80.16, 88.50, 79.30, 84.40, 116800305
03/03/25, 88.55, 90.4796, 82.53, 83.42, 114573906
02/28/25, 79.98, 85.18, 78.58, 84.92, 125977398
02/27/25, 91.91, 93.62, 84.17, 84.77, 99680477
02/26/25, 89.16, 91.69, 87.59, 89.31, 94846195
02/25/25, 90.65, 91.70, 85.25, 87.84, 132626297
02/24/25, 95.88, 99.01, 89.30, 90.68, 184484984
02/21/25, 107.68, 109.07, 100.00, 101.35, 129063203
02/20/25, 102.91, 107.40, 95.80, 106.27, 243093906
02/19/25, 123.86, 125.41, 108.56, 112.06, 147487297
02/18/25, 120.94, 125.00, 118.43, 124.62, 84227156
02/14/25, 117.90, 120.67, 116.80, 119.16, 65528859
02/13/25, 117.31, 118.39, 115.1501, 117.91, 60026969
02/12/25, 110.29, 117.59, 110.00, 117.39, 75316883
02/11/25, 116.50, 118.66, 112.10, 112.62, 94311711
02/10/25, 112.03, 116.76, 108.72, 116.65, 99938070
02/07/25, 111.66, 116.30, 110.45, 110.85, 143795391
